Run,AvgReturn,AvgSteps,Last100Return,Last100Steps
"Baseline (alpha=0.1, epsilon=0.1)",-9.3989,22.4399,1.94,14.92
"Best (alpha=0.2, epsilon=0.1)",-4.4727,19.1196,3.45,14.49
